Ar-40 + neutron, exciton state: (1,1,0,0)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0                   0                   0                   0
           4         4.25567e+20         1.18022e+22         1.17491e+23                   0
           5         4.34888e+21         3.66037e+22         9.83772e+22                   0
           6         1.19615e+22         7.12375e+22         9.60396e+22                   0
           7         2.25713e+22         1.13668e+23          9.8069e+22                   0
           8         3.56687e+22          1.6255e+23         1.01696e+23                   0
           9         5.08807e+22         2.16919e+23         1.05967e+23                   0
          10         6.79223e+22         2.76044e+23         1.10475e+23                   0
          11         8.65687e+22         3.39348e+23         1.15027e+23                   0
          12         1.06637e+23          4.0636e+23         1.19522e+23                   0
          13         1.27976e+23         4.76691e+23         1.23907e+23                   0
          14          1.5039e+23         5.49763e+23         1.20384e+23                   0
          15         1.73191e+23         6.23223e+23         1.14943e+23                   0
          16         1.95665e+23         6.94717e+23         1.10205e+23                   0
          17         2.17343e+23         7.62816e+23         1.06028e+23                   0
          18         2.37929e+23         8.26692e+23         1.02309e+23                   0
          19         2.57244e+23         8.85911e+23         9.89719e+22                   0
          20         2.75195e+23         9.40308e+23          9.5959e+22                   0
          21          2.9175e+23         9.89897e+23         9.32257e+22                   0
          22         3.06921e+23         1.03482e+24         9.07371e+22                   0
          23          3.2075e+23         1.07529e+24         8.84655e+22                   0
          24         3.33306e+23          1.1116e+24         8.63883e+22                   0
          25          3.4467e+23         1.14408e+24         8.44872e+22                   0


Ar-40 + neutron, exciton state: (0,0,1,1)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0                   0                   0                   0
           4         9.65638e+21         2.01546e+21                   0          7.8651e+22
           5         2.99484e+22         1.47948e+22                   0         6.58558e+22
           6         5.82852e+22         3.75988e+22                   0         6.42909e+22
           7         9.30014e+22         6.84494e+22                   0         6.56495e+22
           8         1.32996e+23         1.05961e+23                   0         6.80775e+22
           9         1.77479e+23          1.4913e+23                   0         7.09364e+22
          10         2.25854e+23         1.97194e+23                   0         7.39546e+22
          11         2.77648e+23          2.4955e+23                   0         7.70015e+22
          12         3.32477e+23         3.05712e+23                   0         8.00104e+22
          13          3.9002e+23         3.65272e+23                   0         8.29459e+22
          14         4.49806e+23         4.27698e+23                   0         8.05879e+22
          15         5.09909e+23         4.91058e+23                   0         7.69451e+22
          16         5.68405e+23         5.53361e+23                   0         7.37734e+22
          17         6.24122e+23          6.1332e+23                   0         7.09773e+22
          18         6.76384e+23         6.70129e+23                   0         6.84879e+22
          19         7.24837e+23         7.23315e+23                   0         6.62539e+22
          20         7.69343e+23         7.72642e+23                   0          6.4237e+22
          21         8.09916e+23         8.18038e+23                   0         6.24073e+22
          22         8.46667e+23         8.59554e+23                   0         6.07414e+22
          23         8.79783e+23         8.97323e+23                   0         5.92207e+22
          24         9.09493e+23         9.31542e+23                   0         5.78302e+22
          25         9.36065e+23         9.62452e+23                   0         5.65575e+22


Ar-40 + neutron, exciton state: (1,1,1,0)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0                   0                   0                   0
           4                   0                   0                   0                   0
           5          2.2115e+15                   0         9.48416e+23                   0
           6         2.33967e+21         2.87861e+21         1.97349e+23                   0
           7         8.71806e+21         1.30689e+22         1.49027e+23                   0
           8          1.9035e+22         3.08717e+22         1.30455e+23                   0
           9         3.28771e+22          5.5631e+22         1.22179e+23                   0
          10         4.98582e+22         8.66356e+22          1.1853e+23                   0
          11          6.9649e+22         1.23252e+23         1.17291e+23                   0
          12          9.1972e+22         1.64938e+23         1.17429e+23                   0
          13         1.16592e+23         2.11227e+23         1.18401e+23                   0
          14         1.43308e+23         2.61719e+23         1.19898e+23                   0
          15         1.71934e+23         3.16048e+23         1.21054e+23                   0
          16         2.02178e+23         3.73648e+23         1.21217e+23                   0
          17           2.336e+23         4.33678e+23         1.20778e+23                   0
          18         2.65732e+23         4.95243e+23         1.19972e+23                   0
          19         2.98147e+23         5.57515e+23         1.18947e+23                   0
          20         3.30482e+23         6.19786e+23         1.17797e+23                   0
          21         3.62445e+23          6.8148e+23         1.16582e+23                   0
          22         3.93812e+23         7.42151e+23         1.15345e+23                   0
          23         4.24421e+23         8.01469e+23         1.14115e+23                   0
          24         4.54162e+23         8.59209e+23         1.12911e+23                   0
          25         4.82973e+23         9.15237e+23         1.11748e+23                   0


Ar-40 + neutron, exciton state: (1,0,1,1)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0                   0                   0                   0
           4                   0                   0                   0                   0
           5                   0         7.10148e+17                   0         6.77116e+23
           6         8.56093e+20         5.62188e+21                   0         1.28589e+23
           7         5.74474e+21         1.91636e+22                   0          9.7092e+22
           8         1.55709e+22         4.02466e+22                   0         8.52448e+22
           9          3.0096e+22         6.80073e+22                   0         8.00822e+22
          10         4.89051e+22         1.01689e+23                   0         7.78969e+22
          11         7.15921e+22         1.40658e+23                   0         7.72534e+22
          12         9.77952e+22         1.84388e+23                   0          7.7486e+22
          13         1.27199e+23         2.32434e+23                   0         7.82463e+22
          14          1.5953e+23         2.84416e+23                   0          7.9336e+22
          15         1.94537e+23         3.39984e+23                   0          8.0187e+22
          16         2.31846e+23         3.98574e+23                   0         8.03686e+22
          17          2.7091e+23         4.59336e+23                   0         8.01402e+22
          18         3.11144e+23         5.21367e+23                   0         7.96599e+22
          19         3.51996e+23         5.83849e+23                   0         7.90263e+22
          20         3.92993e+23         6.46086e+23                   0         7.83027e+22
          21         4.33743e+23         7.07526e+23                   0         7.75311e+22
          22         4.73938e+23         7.67746e+23                   0         7.67399e+22
          23         5.13344e+23         8.26442e+23                   0          7.5949e+22
          24         5.51801e+23         8.83414e+23                   0         7.51724e+22
          25         5.89205e+23         9.38551e+23                   0         7.44203e+22


Ar-40 + neutron, exciton state: (2,1,0,0)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0                   0                   0                   0
           4                   0                   0                   0                   0
           5                   0                   0                   0                   0
           6                   0         5.29754e+21         1.56196e+24                   0
           7         2.66263e+18         2.00777e+22         6.66099e+23                   0
           8         4.51231e+20         4.30369e+22         4.62496e+23                   0
           9         2.42389e+21         7.31159e+22         3.81901e+23                   0
          10         6.36109e+21         1.09466e+23         3.42261e+23                   0
          11         1.23125e+22         1.51401e+23         3.20695e+23                   0
          12         2.01991e+22         1.98353e+23         3.08501e+23                   0
          13          2.9903e+22          2.4985e+23         3.01697e+23                   0
          14         4.12998e+22         3.05489e+23         2.98219e+23                   0
          15          5.4266e+22         3.64901e+23          2.9525e+23                   0
          16         6.86412e+22         4.27484e+23         2.90884e+23                   0
          17         8.42034e+22         4.92332e+23         2.85887e+23                   0
          18         1.00703e+23         5.58485e+23         2.80674e+23                   0
          19         1.17893e+23         6.25071e+23          2.7547e+23                   0
          20         1.35542e+23         6.91354e+23         2.70398e+23                   0
          21          1.5345e+23         7.56748e+23         2.65526e+23                   0
          22         1.71444e+23         8.20807e+23         2.60888e+23                   0
          23         1.89386e+23         8.83212e+23         2.56502e+23                   0
          24         2.07164e+23         9.43755e+23         2.52376e+23                   0
          25         2.24698e+23         1.00232e+24          2.4851e+23                   0


Ar-40 + neutron, exciton state: (0,0,2,1)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0                   0                   0                   0
           4                   0                   0                   0                   0
           5                   0                   0                   0                   0
           6         6.73335e+21                   0                   0         7.34394e+23
           7         2.07882e+22         4.62042e+20                   0         3.77126e+23
           8         4.13961e+22         4.65506e+21                   0         2.78295e+23
           9          6.7706e+22         1.46015e+22                   0         2.36567e+23
          10         9.90378e+22         3.05168e+22                   0         2.15565e+23
          11         1.34842e+23         5.21129e+22                   0         2.04145e+23
          12         1.74664e+23         7.89849e+22                   0         1.97836e+23
          13         2.18128e+23         1.10723e+23                   0          1.9452e+23
          14         2.64909e+23         1.46946e+23                   0         1.93071e+23
          15         3.14711e+23         1.87295e+23                   0         1.91771e+23
          16         3.67037e+23         2.31295e+23                   0         1.89434e+23
          17         4.21128e+23         2.78282e+23                   0         1.86586e+23
          18         4.76186e+23         3.27521e+23                   0         1.83521e+23
          19          5.3149e+23         3.78299e+23                   0         1.80401e+23
          20         5.86437e+23         4.29972e+23                   0          1.7732e+23
          21          6.4055e+23         4.81984e+23                   0         1.74332e+23
          22          6.9347e+23         5.33878e+23                   0         1.71467e+23
          23         7.44945e+23         5.85288e+23                   0         1.68742e+23
          24         7.94811e+23         6.35938e+23                   0         1.66167e+23
          25         8.42987e+23         6.85629e+23                   0         1.63746e+23


Ar-40 + neutron, exciton state: (2,2,0,0)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0                   0                   0                   0
           4                   0                   0                   0                   0
           5                   0         4.11905e+20         2.61648e+26                   0
           6                   0         5.48962e+21         1.10343e+25                   0
           7         1.25083e+19         1.60795e+22         3.97608e+24                   0
           8          3.5272e+20         3.18562e+22         2.35374e+24                   0
           9         2.36783e+21         6.17343e+22         1.34676e+24                   0
          10           5.815e+21         9.25801e+22         1.07463e+24                   0
