# TALYS total OMP: n + ar40
# KD03 global (localomp n)
# l.s = 1.0
# Columns:  E(MeV)  r(fm)  Re(U)(MeV)  Im(U)(MeV)
    2.00000   1.87740   -4.91908290e+01   -5.17088600e-01
    2.00000   2.14560   -4.81972190e+01   -6.43352540e-01
    2.00000   2.41380   -4.68082180e+01   -8.45711840e-01
    2.00000   2.68200   -4.49121680e+01   -1.16355305e+00
    2.00000   2.95020   -4.24012930e+01   -1.64683373e+00
    2.00000   3.21840   -3.91960980e+01   -2.34424969e+00
    2.00000   3.48660   -3.52822030e+01   -3.26987616e+00
    2.00000   3.75480   -3.07527900e+01   -4.34379260e+00
    2.00000   4.02300   -2.58366760e+01   -5.33865836e+00
    2.00000   4.29120   -2.08749400e+01   -5.91978951e+00
    2.00000   4.55940   -1.62326460e+01   -5.83400650e+00
    2.00000   4.82760   -1.21926830e+01   -5.10814781e+00
    2.00000   5.09580   -8.89425390e+00   -4.02759543e+00
    2.00000   5.36400   -6.33905480e+00   -2.92150165e+00
    2.00000   5.63220   -4.43894340e+00   -1.99394887e+00
    2.00000   5.90040   -3.06851440e+00   -1.30524321e+00
    2.00000   6.16860   -2.10172340e+00   -8.31364920e-01
    2.00000   6.43680   -1.43027237e+00   -5.20404507e-01
    2.00000   6.70500   -9.68997400e-01   -3.22250833e-01
    2.00000   6.97320   -6.54476420e-01   -1.98232301e-01
    2.00000   7.24140   -4.41118850e-01   -1.21458307e-01
    2.00000   7.50960   -2.96891050e-01   -7.42453644e-02
    2.00000   7.77780   -1.99625044e-01   -4.53249699e-02
    2.00000   8.04600   -1.34135743e-01   -2.76508547e-02
    2.00000   8.31420   -9.00906390e-02   -1.68636938e-02
    2.00000   8.58240   -6.04891980e-02   -1.02845497e-02
    2.00000   8.85060   -4.06052840e-02   -6.27294836e-03
    2.00000   9.11880   -2.72534291e-02   -3.82708846e-03
    2.00000   9.38700   -1.82900900e-02   -2.33566854e-03
    2.00000   9.65520   -1.22737308e-02   -1.42603932e-03
    2.00000   9.92340   -8.23594270e-03   -8.71077987e-04
    2.00000  10.19160   -5.52627725e-03   -5.32366275e-04
    2.00000  10.45980   -3.70799173e-03   -3.25548723e-04
    2.00000  10.72800   -2.48791414e-03   -1.99205587e-04
    2.00000  10.99620   -1.66925519e-03   -1.21980175e-04
    2.00000  11.26440   -1.11996812e-03   -7.47498458e-05
    2.00000  11.53260   -7.51419497e-04   -4.58448562e-05
    2.00000  11.80080   -5.04144210e-04   -2.81424096e-05
    2.00000  12.06900   -3.38238655e-04   -1.72923610e-05
    2.00000  12.33720   -2.26927294e-04   -1.06366588e-05
