# Radial optical model potential from MARLEY KoningDelarocheOpticalModel
# Target: Z=18  A=40  nuclide=Ar40
# Energy grid: -8 to 20 MeV, 1 MeV step
# Radial grid: 0 to 21 fm, 0.26781 fm step
# l = 0 (j = l + 1/2, l.s = l)
# Columns: E(MeV)  k  r(fm)  Re(U)(MeV)  Im(U)(MeV)
  -8.00000   2    4.552770   -1.366941e+01   -4.682321e+00
  -8.00000   2    4.820580   -9.161350e+00   -4.121960e+00
  -8.00000   2    5.088390   -5.508790e+00   -3.266576e+00
  -8.00000   2    5.356200   -2.716435e+00   -2.380237e+00
  -8.00000   2    5.624010   -6.818100e-01   -1.630831e+00
  -8.00000   2    5.891820    7.420357e-01   -1.071016e+00
  -8.00000   2    6.159630    1.702909e+00   -6.840242e-01
  -8.00000   2    6.427440    2.327728e+00   -4.291538e-01
  -8.00000   2    6.695250    2.716123e+00   -2.662663e-01
  -8.00000   2    6.963060    2.942058e+00   -1.640732e-01
  -8.00000   2    7.230870    3.058485e+00   -1.006804e-01
  -8.00000   2    7.498680    3.102387e+00   -6.162605e-02
  -8.00000   2    7.766490    3.099157e+00   -3.766569e-02
  -8.00000   2    8.034300    3.066005e+00   -2.300213e-02
  -8.00000   2    8.302110    3.014471e+00   -1.404119e-02
  -8.00000   2    8.569920    2.952222e+00   -8.569629e-03
  -8.00000   2    8.837730    2.884300e+00   -5.230132e-03
  -8.00000   2    9.105540    2.813979e+00   -3.192289e-03
  -8.00000   2    9.373350    2.743353e+00   -1.948781e-03
  -8.00000   2    9.641160    2.673728e+00   -1.189926e-03
  -8.00000   2    9.908970    2.605893e+00   -7.267620e-04
  -8.00000   2   10.176780    2.540297e+00   -4.440151e-04
  -8.00000   2   10.444590    2.477166e+00   -2.713645e-04
  -8.00000   2   10.712400    2.416585e+00   -1.659107e-04
  -8.00000   2   10.980210    2.358552e+00   -1.014797e-04
  -8.00000   2   11.248020    2.303006e+00   -6.209899e-05
  -8.00000   2   11.515830    2.249858e+00   -3.801980e-05
  -8.00000   2   11.783640    2.199000e+00   -2.329030e-05
  -8.00000   2   12.051450    2.150319e+00   -1.427584e-05
  -8.00000   2   12.319260    2.103698e+00   -8.756143e-06
  -8.00000   2   12.587070    2.059022e+00   -5.374437e-06
  -8.00000   2   12.854880    2.016182e+00   -3.301325e-06
  -8.00000   2   13.122690    1.975074e+00   -2.029582e-06
  -8.00000   2   13.390500    1.935598e+00   -1.248870e-06
  -8.00000   2   13.658310    1.897662e+00   -7.692219e-07
  -8.00000   2   13.926120    1.861180e+00   -4.742879e-07
  -8.00000   2   14.193930    1.826071e+00   -2.927674e-07
  -8.00000   2   14.461740    1.792260e+00   -1.809377e-07
  -8.00000   2   14.729550    1.759677e+00   -1.119690e-07
  -8.00000   2   14.997360    1.728256e+00   -6.938513e-08
  -8.00000   2   15.265170    1.697938e+00   -4.305995e-08
  -8.00000   2   15.532980    1.668664e+00   -2.676443e-08
  -8.00000   2   15.800790    1.640382e+00   -1.666321e-08
  -8.00000   2   16.068600    1.613043e+00   -1.039237e-08
  -8.00000   2   16.336410    1.586600e+00   -6.493273e-09
  -8.00000   2   16.604220    1.561010e+00   -4.064834e-09
  -8.00000   2   16.872030    1.536232e+00   -2.549691e-09
  -8.00000   2   17.139840    1.512229e+00   -1.602622e-09
  -8.00000   2   17.407650    1.488964e+00   -1.009495e-09
  -8.00000   2   17.675460    1.466404e+00   -6.372863e-10
  -8.00000   2   17.943270    1.444517e+00   -4.032240e-10
  -8.00000   2   18.211080    1.423274e+00   -2.557172e-10
  -8.00000   2   18.478890    1.402647e+00   -1.625516e-10
  -8.00000   2   18.746700    1.382609e+00   -1.035742e-10
  -8.00000   2   19.014510    1.363136e+00   -6.615270e-11
  -8.00000   2   19.282320    1.344203e+00   -4.235269e-11
  -8.00000   2   19.550130    1.325790e+00   -2.717995e-11
  -8.00000   2   19.817940    1.307874e+00   -1.748406e-11
  -8.00000   2   20.085750    1.290435e+00   -1.127325e-11
  -8.00000   2   20.353560    1.273456e+00   -7.285373e-12
  -8.00000   2   20.621370    1.256917e+00   -4.718770e-12
  -8.00000   2   20.889180    1.240803e+00   -3.063055e-12
  -7.00000   1    0.267810   -5.204465e+01   -2.328373e-01
  -7.00000   1    0.535620   -5.195414e+01   -2.384294e-01
  -7.00000   1    0.803430   -5.181989e+01   -2.476765e-01
  -7.00000   1    1.071240   -5.162116e+01   -2.629429e-01
  -7.00000   1    1.339050   -5.132792e+01   -2.880910e-01
  -7.00000   1    1.606860   -5.089719e+01   -3.293847e-01
  -7.00000   1    1.874670   -5.026875e+01   -3.968587e-01
  -7.00000   1    2.142480   -4.936078e+01   -5.062656e-01
  -7.00000   1    2.410290   -4.806736e+01   -6.814912e-01
  -7.00000   1    2.678100   -4.626147e+01   -9.566080e-01
  -7.00000   1    2.945910   -4.380944e+01   -1.374927e+00
  -7.00000   1    3.213720   -4.060329e+01   -1.979021e+00
  -7.00000   1    3.481530   -3.661165e+01   -2.782301e+00
  -7.00000   1    3.749340   -3.193464e+01   -3.718055e+00
  -7.00000   1    4.017150   -2.682881e+01   -4.592454e+00
  -7.00000   1    4.284960   -2.166779e+01   -5.116152e+00
  -7.00000   1    4.552770   -1.684135e+01   -5.064755e+00
  -7.00000   1    4.820580   -1.264518e+01   -4.453187e+00
