# Radial optical model potential from MARLEY KoningDelarocheOpticalModel
# Target: Z=18  A=40  nuclide=Ar40
# Energy grid: 20 to 20 MeV, 1 MeV step
# Radial grid: 0 to 21 fm, 0.26746 fm step
# l = 0 (j = l + 1/2, l.s = l)
# Columns: E(MeV)  k  r(fm)  Re(U)(MeV)  Im(U)(MeV)
  20.00000   2    5.081740   -4.113567e+00   -5.974203e+00
  20.00000   2    5.349200   -1.726896e+00   -4.358565e+00
  20.00000   2    5.616660    8.672929e-03   -2.994587e+00
  20.00000   2    5.884120    1.218425e+00   -1.974116e+00
  20.00000   2    6.151580    2.029210e+00   -1.266567e+00
  20.00000   2    6.419040    2.550341e+00   -7.987791e-01
  20.00000   2    6.686500    2.867818e+00   -4.984731e-01
  20.00000   2    6.953960    3.045575e+00   -3.091179e-01
  20.00000   2    7.221420    3.129412e+00   -1.910058e-01
  20.00000   2    7.488880    3.151327e+00   -1.178003e-01
  20.00000   2    7.756340    3.133283e+00   -7.259212e-02
  20.00000   2    8.023800    3.090152e+00   -4.472728e-02
  20.00000   2    8.291260    3.031893e+00   -2.756701e-02
  20.00000   2    8.558720    2.965104e+00   -1.700092e-02
  20.00000   2    8.826180    2.894108e+00   -1.049337e-02
  20.00000   2    9.093640    2.821698e+00   -6.483192e-03
  20.00000   2    9.361100    2.749642e+00   -4.010072e-03
  20.00000   2    9.628560    2.679032e+00   -2.483450e-03
  20.00000   2    9.896020    2.610511e+00   -1.540086e-03
  20.00000   2   10.163480    2.544429e+00   -9.564548e-04
  20.00000   2   10.430940    2.480948e+00   -5.949159e-04
  20.00000   2   10.698400    2.420109e+00   -3.706460e-04
  20.00000   2   10.965860    2.361879e+00   -2.313212e-04
  20.00000   2   11.233320    2.306181e+00   -1.446315e-04
  20.00000   2   11.500780    2.252910e+00   -9.060214e-05
  20.00000   2   11.768240    2.201950e+00   -5.686932e-05
  20.00000   2   12.035700    2.153181e+00   -3.576966e-05
  20.00000   2   12.303160    2.106483e+00   -2.254651e-05
  20.00000   2   12.570620    2.061738e+00   -1.424293e-05
  20.00000   2   12.838080    2.018835e+00   -9.017763e-06
  20.00000   2   13.105540    1.977668e+00   -5.722658e-06
  20.00000   2   13.373000    1.938137e+00   -3.640089e-06
  20.00000   2   13.640460    1.900149e+00   -2.320881e-06
  20.00000   2   13.907920    1.863618e+00   -1.483293e-06
  20.00000   2   14.175380    1.828462e+00   -9.502446e-07
  20.00000   2   14.442840    1.794607e+00   -6.102044e-07
  20.00000   2   14.710300    1.761981e+00   -3.927701e-07
  20.00000   2   14.977760    1.730519e+00   -2.534030e-07
  20.00000   2   15.245220    1.700160e+00   -1.638619e-07
  20.00000   2   15.512680    1.670848e+00   -1.061978e-07
  20.00000   2   15.780140    1.642529e+00   -6.897624e-08
  20.00000   2   16.047600    1.615154e+00   -4.489529e-08
  20.00000   2   16.315060    1.588676e+00   -2.928115e-08
  20.00000   2   16.582520    1.563053e+00   -1.913496e-08
  20.00000   2   16.849980    1.538243e+00   -1.252805e-08
  20.00000   2   17.117440    1.514208e+00   -8.217095e-09
  20.00000   2   17.384900    1.490912e+00   -5.398760e-09
  20.00000   2   17.652360    1.468323e+00   -3.552809e-09
  20.00000   2   17.919820    1.446407e+00   -2.341602e-09
  20.00000   2   18.187280    1.425137e+00   -1.545535e-09
  20.00000   2   18.454740    1.404483e+00   -1.021483e-09
  20.00000   2   18.722200    1.384419e+00   -6.759788e-10
  20.00000   2   18.989660    1.364920e+00   -4.478660e-10
  20.00000   2   19.257120    1.345962e+00   -2.970582e-10
  20.00000   2   19.524580    1.327525e+00   -1.972330e-10
  20.00000   2   19.792040    1.309585e+00   -1.310782e-10
  20.00000   2   20.059500    1.292124e+00   -8.718943e-11
  20.00000   2   20.326960    1.275122e+00   -5.804310e-11
  20.00000   2   20.594420    1.258562e+00   -3.866907e-11
  20.00000   2   20.861880    1.242427e+00   -2.577968e-11
  20.00000   2   21.129340    1.226700e+00   -1.719762e-11
