# Radial optical model potential from MARLEY KoningDelarocheOpticalModel
# Target: Z=18  A=40  nuclide=Ar40
# Energy grid: 20 to 20 MeV, 1 MeV step
# Radial grid: 0 to 21 fm, 0.26781 fm step
# l = 0 (j = l + 1/2, l.s = l)
# Columns: E(MeV)  k  r(fm)  Re(U)(MeV)  Im(U)(MeV)
  20.00000   1    0.267810   -4.486711e+01   -1.733361e+00
  20.00000   1    0.535620   -4.478908e+01   -1.738020e+00
  20.00000   1    0.803430   -4.467334e+01   -1.746149e+00
  20.00000   1    1.071240   -4.450203e+01   -1.760202e+00
  20.00000   1    1.339050   -4.424923e+01   -1.784293e+00
  20.00000   1    1.606860   -4.387790e+01   -1.825250e+00
  20.00000   1    1.874670   -4.333612e+01   -1.894254e+00
  20.00000   1    2.142480   -4.255337e+01   -2.009203e+00
  20.00000   1    2.410290   -4.143833e+01   -2.197740e+00
  20.00000   1    2.678100   -3.988149e+01   -2.499958e+00
  20.00000   1    2.945910   -3.776762e+01   -2.967590e+00
  20.00000   1    3.213720   -3.500364e+01   -3.652131e+00
  20.00000   1    3.481530   -3.156249e+01   -4.569876e+00
  20.00000   1    3.749340   -2.753049e+01   -5.638227e+00
  20.00000   1    4.017150   -2.312881e+01   -6.616242e+00
  20.00000   1    4.284960   -1.867956e+01   -7.143996e+00
  20.00000   1    4.552770   -1.451874e+01   -6.945114e+00
  20.00000   1    4.820580   -1.090126e+01   -6.046847e+00
  20.00000   1    5.088390   -7.950240e+00   -4.763408e+00
  20.00000   1    5.356200   -5.665449e+00   -3.461633e+00
  20.00000   1    5.624010   -3.967022e+00   -2.370890e+00
  20.00000   1    5.891820   -2.742288e+00   -1.559159e+00
  20.00000   1    6.159630   -1.878368e+00   -9.985012e-01
  20.00000   1    6.427440   -1.278385e+00   -6.288720e-01
  20.00000   1    6.695250   -8.662001e-01   -3.920712e-01
  20.00000   1    6.963060   -5.851368e-01   -2.429844e-01
  20.00000   1    7.230870   -3.944579e-01   -1.500912e-01
  20.00000   1    7.498680   -2.655444e-01   -9.255948e-02
  20.00000   1    7.766490   -1.785928e-01   -5.704723e-02
  20.00000   1    8.034300   -1.200368e-01   -3.516339e-02
  20.00000   1    8.302110   -8.064530e-02   -2.168622e-02
  20.00000   1    8.569920   -5.416500e-02   -1.338589e-02
  20.00000   1    8.837730   -3.637260e-02   -8.271382e-03
  20.00000   1    9.105540   -2.442157e-02   -5.117422e-03
  20.00000   1    9.373350   -1.639589e-02   -3.170506e-03
  20.00000   1    9.641160   -1.100705e-02   -1.967271e-03
  20.00000   1    9.908970   -7.389068e-03   -1.222663e-03
  20.00000   1   10.176780   -4.960175e-03   -7.612058e-04
  20.00000   1   10.444590   -3.329635e-03   -4.747812e-04
  20.00000   1   10.712400   -2.235069e-03   -2.967030e-04
  20.00000   1   10.980210   -1.500313e-03   -1.857917e-04
  20.00000   1   11.248020   -1.007095e-03   -1.165851e-04
  20.00000   1   11.515830   -6.760172e-04   -7.331714e-05
  20.00000   1   11.783640   -4.537783e-04   -4.621087e-05
  20.00000   1   12.051450   -3.045994e-04   -2.919346e-05
  20.00000   1   12.319260   -2.044626e-04   -1.848639e-05
  20.00000   1   12.587070   -1.372456e-04   -1.173444e-05
  20.00000   1   12.854880   -9.212613e-05   -7.466702e-06
  20.00000   1   13.122690   -6.183965e-05   -4.762777e-06
  20.00000   1   13.390500   -4.150984e-05   -3.045506e-06
  20.00000   1   13.658310   -2.786346e-05   -1.952200e-06
  20.00000   1   13.926120   -1.870334e-05   -1.254433e-06
  20.00000   1   14.193930   -1.255460e-05   -8.080091e-07
  20.00000   1   14.461740   -8.427271e-06   -5.216912e-07
  20.00000   1   14.729550   -5.656801e-06   -3.376117e-07
  20.00000   1   14.997360   -3.797124e-06   -2.189788e-07
  20.00000   1   15.265170   -2.548817e-06   -1.423437e-07
  20.00000   1   15.532980   -1.710892e-06   -9.272414e-08
  20.00000   1   15.800790   -1.148435e-06   -6.052445e-08
  20.00000   1   16.068600   -7.708864e-07   -3.958356e-08
  20.00000   1   16.336410   -5.174570e-07   -2.593618e-08
  20.00000   1   16.604220   -3.473427e-07   -1.702410e-08
  20.00000   1   16.872030   -2.331536e-07   -1.119306e-08
  20.00000   1   17.139840   -1.565042e-07   -7.370878e-09
  20.00000   1   17.407650   -1.050533e-07   -4.861104e-09
  20.00000   1   17.675460   -7.051698e-08   -3.210376e-09
  20.00000   1   17.943270   -4.733448e-08   -2.122967e-09
  20.00000   1   18.211080   -3.177324e-08   -1.405592e-09
  20.00000   1   18.478890   -2.132777e-08   -9.316802e-10
  20.00000   1   18.746700   -1.431625e-08   -6.182035e-10
  20.00000   1   19.014510   -9.609774e-09   -4.106005e-10
  20.00000   1   19.282320   -6.450554e-09   -2.729600e-10
  20.00000   1   19.550130   -4.329931e-09   -1.816102e-10
  20.00000   1   19.817940   -2.906463e-09   -1.209246e-10
  20.00000   1   20.085750   -1.950962e-09   -8.057420e-11
  20.00000   1   20.353560   -1.309582e-09   -5.372286e-11
  20.00000   1   20.621370   -8.790559e-10   -3.584108e-11
  20.00000   1   20.889180   -5.900657e-10   -2.392436e-11
  20.00000   2    0.267810   -4.274426e+01   -1.761905e+00
  20.00000   2    0.535620   -4.268739e+01   -1.768678e+00
  20.00000   2    0.803430   -4.260905e+01   -1.780265e+00
  20.00000   2    1.071240   -4.248871e+01   -1.799962e+00
  20.00000   2    1.339050   -4.229658e+01   -1.833250e+00
  20.00000   2    1.606860   -4.199008e+01   -1.889150e+00
  20.00000   2    1.874670   -4.150952e+01   -1.982315e+00
  20.00000   2    2.142480   -4.077383e+01   -2.136030e+00
  20.00000   2    2.410290   -3.967804e+01   -2.385994e+00
  20.00000   2    2.678100   -3.809625e+01   -2.783611e+00
  20.00000   2    2.945910   -3.589600e+01   -3.394685e+00
  20.00000   2    3.213720   -3.297029e+01   -4.284034e+00
  20.00000   2    3.481530   -2.928802e+01   -5.471112e+00
