# Radial optical model potential from MARLEY KoningDelarocheOpticalModel
# Target: Z=18  A=40  nuclide=Ar40
# Energy grid: -8 to 20 MeV, 1 MeV step
# Radial grid: 0 to 21 fm, 0.26746 fm step
# l = 0 (j = l + 1/2, l.s = l)
# Columns: E(MeV)  k  r(fm)  Re(U)(MeV)  Im(U)(MeV)
  -8.00000   1    0.267460   -5.204475e+01   -2.328317e-01
  -8.00000   1    0.534920   -5.195443e+01   -2.384108e-01
  -8.00000   1    0.802380   -5.182052e+01   -2.476305e-01
  -8.00000   1    1.069840   -5.162242e+01   -2.628416e-01
  -8.00000   1    1.337300   -5.133023e+01   -2.878828e-01
  -8.00000   1    1.604760   -5.090125e+01   -3.289753e-01
  -8.00000   1    1.872220   -5.027562e+01   -3.960808e-01
  -8.00000   1    2.139680   -4.937206e+01   -5.048312e-01
  -8.00000   1    2.407140   -4.808529e+01   -6.789268e-01
  -8.00000   1    2.674600   -4.628896e+01   -9.521898e-01
  -8.00000   1    2.942060   -4.384984e+01   -1.367684e+00
  -8.00000   1    3.209520   -4.065970e+01   -1.967972e+00
  -8.00000   1    3.476980   -3.668569e+01   -2.767196e+00
  -8.00000   1    3.744440   -3.202507e+01   -3.700691e+00
  -8.00000   1    4.011900   -2.693075e+01   -4.577702e+00
  -8.00000   1    4.279360   -2.177354e+01   -5.110639e+00
  -8.00000   1    4.546820   -1.694256e+01   -5.072553e+00
  -8.00000   1    4.814280   -1.273526e+01   -4.472423e+00
  -8.00000   1    5.081740   -9.297471e+00   -3.548423e+00
  -8.00000   1    5.349200   -6.631860e+00   -2.587369e+00
  -8.00000   1    5.616660   -4.647754e+00   -1.773228e+00
  -8.00000   1    5.884120   -3.215391e+00   -1.164511e+00
  -8.00000   1    6.151580   -2.204012e+00   -7.435924e-01
  -8.00000   1    6.419040   -1.501013e+00   -4.663934e-01
  -8.00000   1    6.686500   -1.017684e+00   -2.892785e-01
  -8.00000   1    6.953960   -6.878771e-01   -1.781961e-01
  -8.00000   1    7.221420   -4.639844e-01   -1.093139e-01
  -8.00000   1    7.488880   -3.125233e-01   -6.689305e-02
  -8.00000   1    7.756340   -2.103036e-01   -4.087606e-02
  -8.00000   1    8.023800   -1.414267e-01   -2.495867e-02
  -8.00000   1    8.291260   -9.506661e-02   -1.523401e-02
  -8.00000   1    8.558720   -6.388484e-02   -9.297362e-03
  -8.00000   1    8.826180   -4.292224e-02   -5.674539e-03
  -8.00000   1    9.093640   -2.883432e-02   -3.463990e-03
  -8.00000   1    9.361100   -1.936862e-02   -2.115114e-03
  -8.00000   1    9.628560   -1.300953e-02   -1.291904e-03
  -8.00000   1    9.896020   -8.737906e-03   -7.893865e-04
  -8.00000   1   10.163480   -5.868692e-03   -4.825410e-04
  -8.00000   1   10.430940   -3.941554e-03   -2.951107e-04
  -8.00000   1   10.698400   -2.647210e-03   -1.805773e-04
  -8.00000   1   10.965860   -1.777894e-03   -1.105583e-04
  -8.00000   1   11.233320   -1.194045e-03   -6.773175e-05
  -8.00000   1   11.500780   -8.019257e-04   -4.152323e-05
  -8.00000   1   11.768240   -5.385753e-04   -2.547499e-05
  -8.00000   1   12.035700   -3.617080e-04   -1.564186e-05
  -8.00000   1   12.303160   -2.429233e-04   -9.612677e-06
  -8.00000   1   12.570620   -1.631473e-04   -5.913065e-06
  -8.00000   1   12.838080   -1.095697e-04   -3.641048e-06
  -8.00000   1   13.105540   -7.358698e-05   -2.244501e-06
  -8.00000   1   13.373000   -4.942098e-05   -1.385253e-06
  -8.00000   1   13.640460   -3.319110e-05   -8.560349e-07
  -8.00000   1   13.907920   -2.229112e-05   -5.297190e-07
  -8.00000   1   14.175380   -1.497070e-05   -3.282698e-07
  -8.00000   1   14.442840   -1.005431e-05   -2.037453e-07
  -8.00000   1   14.710300   -6.752465e-06   -1.266649e-07
  -8.00000   1   14.977760   -4.534950e-06   -7.888190e-08
  -8.00000   1   15.245220   -3.045669e-06   -4.921427e-08
  -8.00000   1   15.512680   -2.045469e-06   -3.076355e-08
  -8.00000   1   15.780140   -1.373735e-06   -1.926865e-08
  -8.00000   1   16.047600   -9.225992e-07   -1.209404e-08
  -8.00000   1   16.315060   -6.196169e-07   -7.607295e-09
  -8.00000   1   16.582520   -4.161342e-07   -4.795770e-09
  -8.00000   1   16.849980   -2.794753e-07   -3.030279e-09
  -8.00000   1   17.117440   -1.876954e-07   -1.919226e-09
  -8.00000   1   17.384900   -1.260561e-07   -1.218449e-09
  -8.00000   1   17.652360   -8.465915e-08   -7.754267e-10
  -8.00000   1   17.919820   -5.685701e-08   -4.946923e-10
  -8.00000   1   18.187280   -3.818512e-08   -3.163694e-10
  -8.00000   1   18.454740   -2.564509e-08   -2.028231e-10
  -8.00000   1   18.722200   -1.722322e-08   -1.303460e-10
  -8.00000   1   18.989660   -1.156710e-08   -8.396988e-11
  -8.00000   1   19.257120   -7.768456e-09   -5.422240e-11
  -8.00000   1   19.524580   -5.217288e-09   -3.509477e-11
  -8.00000   1   19.792040   -3.503926e-09   -2.276614e-11
  -8.00000   1   20.059500   -2.353234e-09   -1.480100e-11
  -8.00000   1   20.326960   -1.580430e-09   -9.643075e-12
  -8.00000   1   20.594420   -1.061415e-09   -6.295467e-12
  -8.00000   1   20.861880   -7.128457e-10   -4.118050e-12
  -8.00000   1   21.129340   -4.787465e-10   -2.698782e-12
  -8.00000   2    0.267460   -5.100238e+01   -1.644062e-01
  -8.00000   2    0.534920   -5.093128e+01   -1.697742e-01
  -8.00000   2    0.802380   -5.083190e+01   -1.786152e-01
  -8.00000   2    1.069840   -5.068053e+01   -1.931551e-01
  -8.00000   2    1.337300   -5.044283e+01   -2.170187e-01
  -8.00000   2    1.604760   -5.006967e+01   -2.560646e-01
  -8.00000   2    1.872220   -4.949227e+01   -3.196477e-01
  -8.00000   2    2.139680   -4.861715e+01   -4.224048e-01
  -8.00000   2    2.407140   -4.732328e+01   -5.864564e-01
  -8.00000   2    2.674600   -4.546539e+01   -8.432548e-01
  -8.00000   2    2.942060   -4.289032e+01   -1.232661e+00
  -8.00000   2    3.209520   -3.947363e+01   -1.793770e+00
  -8.00000   2    3.476980   -3.517756e+01   -2.538984e+00
  -8.00000   2    3.744440   -3.011391e+01   -3.407636e+00
  -8.00000   2    4.011900   -2.457347e+01   -4.222984e+00
  -8.00000   2    4.279360   -1.898255e+01   -4.719852e+00
  -8.00000   2    4.546820   -1.377833e+01   -4.689416e+00
  -8.00000   2    4.814280   -9.257884e+00   -4.139634e+00
  -8.00000   2    5.081740   -5.588816e+00   -3.289150e+00
  -8.00000   2    5.349200   -2.779187e+00   -2.402117e+00
  -8.00000   2    5.616660   -7.287959e-01   -1.648902e+00
  -8.00000   2    5.884120    7.082322e-01   -1.084528e+00
  -8.00000   2    6.151580    1.679494e+00   -6.935139e-01
  -8.00000   2    6.419040    2.312172e+00   -4.355607e-01
  -8.00000   2    6.686500    2.706340e+00   -2.704856e-01
  -8.00000   2    6.953960    2.936428e+00   -1.668083e-01
  -8.00000   2    7.221420    3.055790e+00   -1.024355e-01
  -8.00000   2    7.488880    3.101738e+00   -6.274493e-02
  -8.00000   2    7.756340    3.099914e+00   -3.837581e-02
  -8.00000   2    8.023800    3.067712e+00   -2.345145e-02
  -8.00000   2    8.291260    3.016808e+00   -1.432487e-02
  -8.00000   2    8.558720    2.954967e+00   -8.748441e-03
  -8.00000   2    8.826180    2.887298e+00   -5.342700e-03
  -8.00000   2    9.093640    2.817123e+00   -3.263083e-03
  -8.00000   2    9.361100    2.746569e+00   -1.993267e-03
  -8.00000   2    9.628560    2.676968e+00   -1.217859e-03
  -8.00000   2    9.896020    2.609124e+00   -7.442922e-04
  -8.00000   2   10.163480    2.543497e+00   -4.550108e-04
  -8.00000   2   10.430940    2.480322e+00   -2.782586e-04
  -8.00000   2   10.698400    2.419689e+00   -1.702316e-04
  -8.00000   2   10.965860    2.361597e+00   -1.041871e-04
  -8.00000   2   11.233320    2.305991e+00   -6.379501e-05
  -8.00000   2   11.500780    2.252783e+00   -3.908209e-05
  -8.00000   2   11.768240    2.201865e+00   -2.395560e-05
  -8.00000   2   12.035700    2.153124e+00   -1.469250e-05
  -8.00000   2   12.303160    2.106445e+00   -9.017094e-06
  -8.00000   2   12.570620    2.061712e+00   -5.537889e-06
  -8.00000   2   12.838080    2.018818e+00   -3.403726e-06
  -8.00000   2   13.105540    1.977656e+00   -2.093752e-06
  -8.00000   2   13.373000    1.938129e+00   -1.289096e-06
  -8.00000   2   13.640460    1.900144e+00   -7.944484e-07
  -8.00000   2   13.907920    1.863615e+00   -4.901160e-07
  -8.00000   2   14.175380    1.828460e+00   -3.027043e-07
  -8.00000   2   14.442840    1.794605e+00   -1.871803e-07
  -8.00000   2   14.710300    1.761979e+00   -1.158938e-07
  -8.00000   2   14.977760    1.730518e+00   -7.185477e-08
  -8.00000   2   15.245220    1.700160e+00   -4.461544e-08
  -8.00000   2   15.512680    1.670848e+00   -2.774516e-08
  -8.00000   2   15.780140    1.642529e+00   -1.728228e-08
  -8.00000   2   16.047600    1.615154e+00   -1.078362e-08
  -8.00000   2   16.315060    1.588676e+00   -6.740881e-09
  -8.00000   2   16.582520    1.563053e+00   -4.221762e-09
  -8.00000   2   16.849980    1.538242e+00   -2.649301e-09
  -8.00000   2   17.117440    1.514208e+00   -1.665953e-09
  -8.00000   2   17.384900    1.490912e+00   -1.049829e-09
  -8.00000   2   17.652360    1.468323e+00   -6.630211e-10
  -8.00000   2   17.919820    1.446407e+00   -4.196749e-10
  -8.00000   2   18.187280    1.425137e+00   -2.662540e-10
  -8.00000   2   18.454740    1.404483e+00   -1.693140e-10
  -8.00000   2   18.722200    1.384419e+00   -1.079233e-10
  -8.00000   2   18.989660    1.364920e+00   -6.895574e-11
  -8.00000   2   19.257120    1.345962e+00   -4.416317e-11
  -8.00000   2   19.524580    1.327525e+00   -2.835189e-11
  -8.00000   2   19.792040    1.309585e+00   -1.824434e-11
  -8.00000   2   20.059500    1.292124e+00   -1.176755e-11
  -8.00000   2   20.326960    1.275122e+00   -7.607455e-12
  -8.00000   2   20.594420    1.258562e+00   -4.929090e-12
  -8.00000   2   20.861880    1.242427e+00   -3.200687e-12
  -8.00000   2   21.129340    1.226700e+00   -2.082767e-12
  -7.00000   1    0.267460   -5.204475e+01   -2.328317e-01
  -7.00000   1    0.534920   -5.195443e+01   -2.384108e-01
  -7.00000   1    0.802380   -5.182052e+01   -2.476305e-01
  -7.00000   1    1.069840   -5.162242e+01   -2.628416e-01
  -7.00000   1    1.337300   -5.133023e+01   -2.878828e-01
  -7.00000   1    1.604760   -5.090125e+01   -3.289753e-01
  -7.00000   1    1.872220   -5.027562e+01   -3.960808e-01
  -7.00000   1    2.139680   -4.937206e+01   -5.048312e-01
  -7.00000   1    2.407140   -4.808529e+01   -6.789268e-01
  -7.00000   1    2.674600   -4.628896e+01   -9.521898e-01
  -7.00000   1    2.942060   -4.384984e+01   -1.367684e+00
  -7.00000   1    3.209520   -4.065970e+01   -1.967972e+00
  -7.00000   1    3.476980   -3.668569e+01   -2.767196e+00
  -7.00000   1    3.744440   -3.202507e+01   -3.700691e+00
  -7.00000   1    4.011900   -2.693075e+01   -4.577702e+00
  -7.00000   1    4.279360   -2.177354e+01   -5.110639e+00
  -7.00000   1    4.546820   -1.694256e+01   -5.072553e+00
  -7.00000   1    4.814280   -1.273526e+01   -4.472423e+00
  -7.00000   1    5.081740   -9.297471e+00   -3.548423e+00
  -7.00000   1    5.349200   -6.631860e+00   -2.587369e+00
  -7.00000   1    5.616660   -4.647754e+00   -1.773228e+00
  -7.00000   1    5.884120   -3.215391e+00   -1.164511e+00
  -7.00000   1    6.151580   -2.204012e+00   -7.435924e-01
  -7.00000   1    6.419040   -1.501013e+00   -4.663934e-01
  -7.00000   1    6.686500   -1.017684e+00   -2.892785e-01
  -7.00000   1    6.953960   -6.878771e-01   -1.781961e-01
  -7.00000   1    7.221420   -4.639844e-01   -1.093139e-01
  -7.00000   1    7.488880   -3.125233e-01   -6.689305e-02
  -7.00000   1    7.756340   -2.103036e-01   -4.087606e-02
  -7.00000   1    8.023800   -1.414267e-01   -2.495867e-02
  -7.00000   1    8.291260   -9.506661e-02   -1.523401e-02
  -7.00000   1    8.558720   -6.388484e-02   -9.297362e-03
  -7.00000   1    8.826180   -4.292224e-02   -5.674539e-03
  -7.00000   1    9.093640   -2.883432e-02   -3.463990e-03
  -7.00000   1    9.361100   -1.936862e-02   -2.115114e-03
  -7.00000   1    9.628560   -1.300953e-02   -1.291904e-03
  -7.00000   1    9.896020   -8.737906e-03   -7.893865e-04
  -7.00000   1   10.163480   -5.868692e-03   -4.825410e-04
  -7.00000   1   10.430940   -3.941554e-03   -2.951107e-04
  -7.00000   1   10.698400   -2.647210e-03   -1.805773e-04
  -7.00000   1   10.965860   -1.777894e-03   -1.105583e-04
  -7.00000   1   11.233320   -1.194045e-03   -6.773175e-05
  -7.00000   1   11.500780   -8.019257e-04   -4.152323e-05
  -7.00000   1   11.768240   -5.385753e-04   -2.547499e-05
  -7.00000   1   12.035700   -3.617080e-04   -1.564186e-05
  -7.00000   1   12.303160   -2.429233e-04   -9.612677e-06
  -7.00000   1   12.570620   -1.631473e-04   -5.913065e-06
  -7.00000   1   12.838080   -1.095697e-04   -3.641048e-06
  -7.00000   1   13.105540   -7.358698e-05   -2.244501e-06
  -7.00000   1   13.373000   -4.942098e-05   -1.385253e-06
  -7.00000   1   13.640460   -3.319110e-05   -8.560349e-07
  -7.00000   1   13.907920   -2.229112e-05   -5.297190e-07
  -7.00000   1   14.175380   -1.497070e-05   -3.282698e-07
  -7.00000   1   14.442840   -1.005431e-05   -2.037453e-07
  -7.00000   1   14.710300   -6.752465e-06   -1.266649e-07
  -7.00000   1   14.977760   -4.534950e-06   -7.888190e-08
  -7.00000   1   15.245220   -3.045669e-06   -4.921427e-08
  -7.00000   1   15.512680   -2.045469e-06   -3.076355e-08
  -7.00000   1   15.780140   -1.373735e-06   -1.926865e-08
  -7.00000   1   16.047600   -9.225992e-07   -1.209404e-08
  -7.00000   1   16.315060   -6.196169e-07   -7.607295e-09
  -7.00000   1   16.582520   -4.161342e-07   -4.795770e-09
  -7.00000   1   16.849980   -2.794753e-07   -3.030279e-09
  -7.00000   1   17.117440   -1.876954e-07   -1.919226e-09
  -7.00000   1   17.384900   -1.260561e-07   -1.218449e-09
  -7.00000   1   17.652360   -8.465915e-08   -7.754267e-10
  -7.00000   1   17.919820   -5.685701e-08   -4.946923e-10
  -7.00000   1   18.187280   -3.818512e-08   -3.163694e-10
  -7.00000   1   18.454740   -2.564509e-08   -2.028231e-10
  -7.00000   1   18.722200   -1.722322e-08   -1.303460e-10
  -7.00000   1   18.989660   -1.156710e-08   -8.396988e-11
  -7.00000   1   19.257120   -7.768456e-09   -5.422240e-11
  -7.00000   1   19.524580   -5.217288e-09   -3.509477e-11
  -7.00000   1   19.792040   -3.503926e-09   -2.276614e-11
  -7.00000   1   20.059500   -2.353234e-09   -1.480100e-11
  -7.00000   1   20.326960   -1.580430e-09   -9.643075e-12
  -7.00000   1   20.594420   -1.061415e-09   -6.295467e-12
  -7.00000   1   20.861880   -7.128457e-10   -4.118050e-12
  -7.00000   1   21.129340   -4.787465e-10   -2.698782e-12
  -7.00000   2    0.267460   -5.100238e+01   -1.644062e-01
  -7.00000   2    0.534920   -5.093128e+01   -1.697742e-01
  -7.00000   2    0.802380   -5.083190e+01   -1.786152e-01
  -7.00000   2    1.069840   -5.068053e+01   -1.931551e-01
  -7.00000   2    1.337300   -5.044283e+01   -2.170187e-01
  -7.00000   2    1.604760   -5.006967e+01   -2.560646e-01
  -7.00000   2    1.872220   -4.949227e+01   -3.196477e-01
  -7.00000   2    2.139680   -4.861715e+01   -4.224048e-01
  -7.00000   2    2.407140   -4.732328e+01   -5.864564e-01
  -7.00000   2    2.674600   -4.546539e+01   -8.432548e-01
  -7.00000   2    2.942060   -4.289032e+01   -1.232661e+00
  -7.00000   2    3.209520   -3.947363e+01   -1.793770e+00
  -7.00000   2    3.476980   -3.517756e+01   -2.538984e+00
  -7.00000   2    3.744440   -3.011391e+01   -3.407636e+00
  -7.00000   2    4.011900   -2.457347e+01   -4.222984e+00
  -7.00000   2    4.279360   -1.898255e+01   -4.719852e+00
  -7.00000   2    4.546820   -1.377833e+01   -4.689416e+00
  -7.00000   2    4.814280   -9.257884e+00   -4.139634e+00
  -7.00000   2    5.081740   -5.588816e+00   -3.289150e+00
  -7.00000   2    5.349200   -2.779187e+00   -2.402117e+00
  -7.00000   2    5.616660   -7.287959e-01   -1.648902e+00
  -7.00000   2    5.884120    7.082322e-01   -1.084528e+00
  -7.00000   2    6.151580    1.679494e+00   -6.935139e-01
  -7.00000   2    6.419040    2.312172e+00   -4.355607e-01
  -7.00000   2    6.686500    2.706340e+00   -2.704856e-01
  -7.00000   2    6.953960    2.936428e+00   -1.668083e-01
  -7.00000   2    7.221420    3.055790e+00   -1.024355e-01
  -7.00000   2    7.488880    3.101738e+00   -6.274493e-02
  -7.00000   2    7.756340    3.099914e+00   -3.837581e-02
  -7.00000   2    8.023800    3.067712e+00   -2.345145e-02
  -7.00000   2    8.291260    3.016808e+00   -1.432487e-02
  -7.00000   2    8.558720    2.954967e+00   -8.748441e-03
  -7.00000   2    8.826180    2.887298e+00   -5.342700e-03
  -7.00000   2    9.093640    2.817123e+00   -3.263083e-03
  -7.00000   2    9.361100    2.746569e+00   -1.993267e-03
  -7.00000   2    9.628560    2.676968e+00   -1.217859e-03
  -7.00000   2    9.896020    2.609124e+00   -7.442922e-04
  -7.00000   2   10.163480    2.543497e+00   -4.550108e-04
  -7.00000   2   10.430940    2.480322e+00   -2.782586e-04
  -7.00000   2   10.698400    2.419689e+00   -1.702316e-04
  -7.00000   2   10.965860    2.361597e+00   -1.041871e-04
  -7.00000   2   11.233320    2.305991e+00   -6.379501e-05
  -7.00000   2   11.500780    2.252783e+00   -3.908209e-05
  -7.00000   2   11.768240    2.201865e+00   -2.395560e-05
  -7.00000   2   12.035700    2.153124e+00   -1.469250e-05
  -7.00000   2   12.303160    2.106445e+00   -9.017094e-06
  -7.00000   2   12.570620    2.061712e+00   -5.537889e-06
  -7.00000   2   12.838080    2.018818e+00   -3.403726e-06
  -7.00000   2   13.105540    1.977656e+00   -2.093752e-06
  -7.00000   2   13.373000    1.938129e+00   -1.289096e-06
  -7.00000   2   13.640460    1.900144e+00   -7.944484e-07
  -7.00000   2   13.907920    1.863615e+00   -4.901160e-07
  -7.00000   2   14.175380    1.828460e+00   -3.027043e-07
  -7.00000   2   14.442840    1.794605e+00   -1.871803e-07
  -7.00000   2   14.710300    1.761979e+00   -1.158938e-07
  -7.00000   2   14.977760    1.730518e+00   -7.185477e-08
  -7.00000   2   15.245220    1.700160e+00   -4.461544e-08
  -7.00000   2   15.512680    1.670848e+00   -2.774516e-08
  -7.00000   2   15.780140    1.642529e+00   -1.728228e-08
  -7.00000   2   16.047600    1.615154e+00   -1.078362e-08
  -7.00000   2   16.315060    1.588676e+00   -6.740881e-09
  -7.00000   2   16.582520    1.563053e+00   -4.221762e-09
  -7.00000   2   16.849980    1.538242e+00   -2.649301e-09
  -7.00000   2   17.117440    1.514208e+00   -1.665953e-09
  -7.00000   2   17.384900    1.490912e+00   -1.049829e-09
  -7.00000   2   17.652360    1.468323e+00   -6.630211e-10
  -7.00000   2   17.919820    1.446407e+00   -4.196749e-10
  -7.00000   2   18.187280    1.425137e+00   -2.662540e-10
  -7.00000   2   18.454740    1.404483e+00   -1.693140e-10
  -7.00000   2   18.722200    1.384419e+00   -1.079233e-10
  -7.00000   2   18.989660    1.364920e+00   -6.895574e-11
  -7.00000   2   19.257120    1.345962e+00   -4.416317e-11
  -7.00000   2   19.524580    1.327525e+00   -2.835189e-11
  -7.00000   2   19.792040    1.309585e+00   -1.824434e-11
  -7.00000   2   20.059500    1.292124e+00   -1.176755e-11
  -7.00000   2   20.326960    1.275122e+00   -7.607455e-12
  -7.00000   2   20.594420    1.258562e+00   -4.929090e-12
  -7.00000   2   20.861880    1.242427e+00   -3.200687e-12
  -7.00000   2   21.129340    1.226700e+00   -2.082767e-12
  -6.00000   1    0.267460   -5.204475e+01   -2.328317e-01
  -6.00000   1    0.534920   -5.195443e+01   -2.384108e-01
  -6.00000   1    0.802380   -5.182052e+01   -2.476305e-01
  -6.00000   1    1.069840   -5.162242e+01   -2.628416e-01
  -6.00000   1    1.337300   -5.133023e+01   -2.878828e-01
  -6.00000   1    1.604760   -5.090125e+01   -3.289753e-01
  -6.00000   1    1.872220   -5.027562e+01   -3.960808e-01
  -6.00000   1    2.139680   -4.937206e+01   -5.048312e-01
  -6.00000   1    2.407140   -4.808529e+01   -6.789268e-01
  -6.00000   1    2.674600   -4.628896e+01   -9.521898e-01
